,short_title,url,datetime_local,popularity,score,venue_name,venue_extended_address,stats_listing_count,stats_average_price,stats_lowest_price_good_deals,stats_lowest_price,stats_highest_price,event_promotion
44,"Caroline, or Change - New York",https://seatgeek.com/caroline-or-change-new-york-tickets/studio-54-2021-11-17-8-pm/broadway/5485137,2021-11-17T20:00:00,0.571,0.354,Studio 54,"New York, NY 10019",42.0,684.0,158.0,137.0,1314.0,
45,Flying Over Sunset - New York,https://seatgeek.com/flying-over-sunset-new-york-tickets/lincoln-center-theater-vivian-beaumont-2021-11-17-8-pm/broadway/5529720,2021-11-17T20:00:00,0.585,0.367,Lincoln Center Theater-Vivian Beaumont,"New York, NY 10023",60.0,722.0,181.0,164.0,1184.0,
46,Company - New York,https://seatgeek.com/company-new-york-tickets/bernard-b-jacobs-theatre-2021-11-17-8-pm/broadway/5441427,2021-11-17T20:00:00,0.525,0.315,Bernard B. Jacobs Theatre,"New York, NY 10036",62.0,823.0,540.0,278.0,1314.0,
47,TINA - The Tina Turner Musical - New York,https://seatgeek.com/tina-the-tina-turner-musical-new-york-tickets/lunt-fontanne-theatre-2021-11-17-8-pm/broadway/5406835,2021-11-17T20:00:00,0.569,0.362,Lunt-Fontanne Theatre,"New York, NY 10036",128.0,521.0,126.0,126.0,1299.0,
48,Mrs. Doubtfire - New York,https://seatgeek.com/mrs-doubtfire-new-york-tickets/stephen-sondheim-theatre-2021-11-17-8-pm/broadway/5409770,2021-11-17T20:00:00,0.562,0.352,Stephen Sondheim Theatre,"New York, NY 10036",53.0,878.0,136.0,133.0,1576.0,
49,David Byrne's American Utopia,https://seatgeek.com/david-byrnes-american-utopia-tickets/st-james-theatre-2021-11-17-8-pm/broadway/5424213,2021-11-17T20:00:00,0.829,0.676,St. James Theatre,"New York, NY 10036",92.0,146.0,89.0,68.0,195.0,
50,Aladdin - New York,https://seatgeek.com/aladdin-new-york-tickets/new-amsterdam-theatre-2021-11-18-7-pm/broadway/5315313,2021-11-18T19:00:00,0.646,0.504,New Amsterdam Theatre,"New York, NY 10036",117.0,397.0,109.0,94.0,1109.0,
51,Jagged Little Pill - New York,https://seatgeek.com/jagged-little-pill-new-york-tickets/broadhurst-theatre-2021-11-18-7-pm/broadway/5351705,2021-11-18T19:00:00,0.551,0.359,Broadhurst Theatre,"New York, NY 10036",99.0,549.0,145.0,121.0,1347.0,
52,Girl From The North Country - New York,https://seatgeek.com/girl-from-the-north-country-new-york-tickets/belasco-theatre-2021-11-18-7-pm/broadway/5414340,2021-11-18T19:00:00,0.573,0.383,Belasco Theatre,"New York, NY 10036",77.0,660.0,137.0,137.0,1511.0,
53,Jersey Boys - New York,https://seatgeek.com/jersey-boys-new-york-tickets/new-world-stages-2021-11-18-7-pm/broadway/5398762,2021-11-18T19:00:00,0.562,0.369,New World Stages,"New York, NY 10019",27.0,408.0,,147.0,791.0,
54,To Kill a Mockingbird - New York,https://seatgeek.com/to-kill-a-mockingbird-new-york-tickets/shubert-theatre-1-2021-11-18-7-pm/broadway/5421785,2021-11-18T19:00:00,0.577,0.382,Shubert Theatre,"New York, NY 10036",80.0,972.0,60.0,60.0,2144.0,
55,TINA - The Tina Turner Musical - New York,https://seatgeek.com/tina-the-tina-turner-musical-new-york-tickets/lunt-fontanne-theatre-2021-11-18-7-pm/broadway/5406850,2021-11-18T19:00:00,0.571,0.381,Lunt-Fontanne Theatre,"New York, NY 10036",133.0,516.0,134.0,134.0,1299.0,
56,"Caroline, or Change - New York",https://seatgeek.com/caroline-or-change-new-york-tickets/studio-54-2021-11-18-7-pm/broadway/5485136,2021-11-18T19:00:00,0.567,0.367,Studio 54,"New York, NY 10019",40.0,710.0,162.0,162.0,1281.0,
57,The Book of Mormon,https://seatgeek.com/the-book-of-mormon-tickets/eugene-o-neill-theatre-2021-11-18-7-pm/broadway/5422909,2021-11-18T19:00:00,0.776,0.648,Eugene O'Neill Theatre,"New York, NY 10019",128.0,152.0,100.0,100.0,270.0,
